ID,Titolo,Generi,Punteggio Medio,Rank,Popolarità,Stato,Autori
137939,Chi. Chikyuu no Undou ni Tsuite,"Award Winning, Drama, Historical, Seinen",8.17,489,1566,finished, Uoto
67401,Fukigen na Mononokean,"Comedy, Supernatural",8.17,491,1607,finished,Kiri Wazawa
80091,Yahari Ore no Seishun Love Comedy wa Machigatteiru. @comic,"Comedy, Love Polygon, Romance, School, Seinen",8.17,492,2110,finished,"Wataru Watari, Naomichi Io"
80375,Otouto no Otto,"Award Winning, Slice of Life",8.17,493,1561,finished,Gengorou Tagame
121480,Yofukashi no Uta,"Award Winning, Romance, Shounen, Supernatural, Vampire",8.17,494,142,finished, Kotoyama
436,Uzumaki,"Drama, Horror, Seinen, Supernatural",8.16,496,31,finished,Junji Itou
994,Ookiku Furikabutte,"Award Winning, Comedy, Seinen, Sports, Team Sports",8.16,497,2163,currently_publishing,Asa Higuchi
10865,Touhou Shinigami: Meteor Methuselah Gaiden,"Action, Drama, Fantasy, Shoujo",8.16,498,3657,finished,Kaori Ozaki
102703,Doukyuusei: Gold Ring & Silver Ring,Boys Love,8.16,499,2375,finished,Asumiko Nakamura
112589,Tonikaku Kawaii,"Comedy, Romance, Shounen",8.16,502,181,currently_publishing,Kenjirou Hata
113163,Bungou Stray Dogs: Dead Apple,"Action, Detective, Mystery, Supernatural",8.16,503,2856,finished, Ganjii
125052,Yamada-kun to Lv999 no Koi wo Suru,"Romance, Video Game",8.16,504,291,currently_publishing, Mashiro
126146,[Oshi no Ko],"Drama, Reincarnation, Seinen, Showbiz",8.16,505,42,finished,"Aka Akasaka, Mengo Yokoyari"
131334,Sakamoto Days,"Action, Comedy, Shounen",8.16,506,96,currently_publishing,Yuuto Suzuki
58007,Shingeki no Kyojin: Kuinaki Sentaku,"Action, Shoujo",8.16,508,326,finished,"Hikaru Suruga, Gan Sunaaku"
661,Sayonara Zetsubou Sensei,"Award Winning, Comedy, Gag Humor, Parody, School, Shounen",8.15,510,580,finished,Kouji Kumeta
688,Maison Ikkoku,"Adult Cast, Comedy, Drama, Romance, Seinen",8.15,511,1040,finished,Rumiko Takahashi
705,Shingetsutan Tsukihime,"Action, Horror, Romance, Supernatural, Vampire",8.15,512,428,finished," Type-Moon, Kinoko Nasu, Shonen Sasaki"
929,Fushigi Yuugi: Genbu Kaiden,"Adventure, Drama, Fantasy, Historical, Isekai, Magical Sex Shift, Romance, Shoujo",8.15,513,1674,finished,Yuu Watase
1110,Shiawase Kissa 3-choume,"Comedy, Romance, Shoujo, Slice of Life",8.15,514,1018,finished,Kou Matsuzuki
8144,Sora no Otoshimono,"Comedy, Drama, Ecchi, Romance, School, Sci-Fi, Shounen",8.15,515,407,finished,Suu Minazuki
9546,Capeta,"Award Winning, Comedy, Drama, Racing, Shounen",8.15,516,3924,finished,Masahito Soda
10443,Bakuon Rettou,"Action, Drama, Psychological, School, Seinen",8.15,517,1443,finished,Tsutomu Takahashi
117840,Ase to Sekken,"Adult Cast, Comedy, Romance, Seinen, Workplace",8.15,518,402,finished,Kintetsu Yamada
120250,Ponkotsu Ponko,"Comedy, Seinen, Slice of Life",8.15,519,1653,finished,Keita Yatera
130331,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su","Action, Adventure, Award Winning, Fantasy, Shounen, Video Game",8.15,520,780,currently_publishing,"Ryousuke Fuji,  Katarina"
35733,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Shounen",8.15,523,1260,finished,Mitsu Izumi
36131,Fate/kaleid liner Prisma☆Illya 3rei!!,"Action, Comedy, Fantasy, Mahou Shoujo",8.15,524,2073,currently_publishing,Hiroshi Hiroyama
44319,Mahou Shoujo Madoka★Magica: The Different Story,"Drama, Horror, Mahou Shoujo, School, Seinen",8.15,526,1188,finished," Magica Quartet,  Hanokage"
45947,Nukozuke!,"Comedy, Pets, Shoujo, Slice of Life",8.15,527,2000,currently_publishing,Iro Yugi
20242,Binbougami ga!,"Comedy, Mythology, Shounen, Supernatural",8.14,528,992,finished,Yoshiaki Sukeno
100128,Yakusoku no Neverland,"Award Winning, Mystery, Psychological, Shounen, Survival, Suspense",8.14,530,18,finished,"Posuka Demizu, Kaiu Shirai"
77637,Helck,"Action, Fantasy",8.14,531,435,finished,Nanaki Nanao
84255,Hidamari ga Kikoeru,"Boys Love, School, Slice of Life",8.14,532,555,finished,Yuki Fumino
111229,Mystery to Iu nakare,"Award Winning, Josei, Mystery",8.14,534,1783,currently_publishing,Yumi Tamura
117020,Tsukiatte Agetemo Ii kana,Girls Love,8.14,536,939,currently_publishing, Tamifull
118625,Sasayaku You ni Koi wo Utau,"Girls Love, School",8.14,537,493,currently_publishing,Eku Takeshima
17,Kareshi Kanojo no Jijou,"Comedy, Drama, Romance, School, Shoujo",8.14,540,468,finished,Masami Tsuda
729,Emma,"Award Winning, Historical, Romance, Seinen, Slice of Life",8.14,541,634,finished,Kaoru Mori
